id,email,name,website,amenity,building,shop,tourism,information,addr:full,tags_search,additional_information,geometry,sentence,gml_id,interpreted_type,mid_labels,bosserhof_class,short_reason
12106362729,,,,bench,,,,,,backrest yes,,POINT (10.241931915283203 51.8077392578125),Amenity: bench. Additional tags: backrest yes.,12106362729,bench,[],,"The OSM tags (amenity=bench, backrest=yes) describe an outdoor seating element, not an enterable bui"
608894138,,,,parking,,,,,,access private construction yes layer 1,parking: underground,"POLYGON ((10.807988166809082 52.420860290527344, 10.807991027832031 52.420833587646484, 10.808002471923828 52.42074966430664, 10.808408737182617 52.4207649230957, 10.808394432067871 52.42087936401367, 10.808136940002441 52.420867919921875, 10.807988166809082 52.420860290527344))",Amenity: parking. Additional information: parking: underground. Additional tags: access private construction yes layer 1.,608894138,Underground parking facility,[],,The OSM tags describe an amenity=parking (underground) under construction. This is transport infrast
531543022,,Kita Rothemühle,https://www.kita-rothemuehle.de/,kindergarten,,,,,"An der Aue, 2, Schwülper, 38179",addr suburb rothemühle brand deutsches rotes kreuz brand short drk brand wikidata q694104 capacity 43 lunch yes,,"POLYGON ((10.438248634338379 52.33494567871094, 10.438333511352539 52.33498001098633, 10.43836784362793 52.3349494934082, 10.438494682312012 52.33500289916992, 10.438517570495605 52.334983825683594, 10.43856430053711 52.33500289916992, 10.438680648803711 52.335052490234375, 10.438703536987305 52.33503341674805, 10.439070701599121 52.33473587036133, 10.438894271850586 52.33465576171875, 10.438633918762207 52.33486557006836, 10.438600540161133 52.3348503112793, 10.438577651977539 52.334842681884766, 10.438494682312012 52.33480453491211, 10.43822193145752 52.33469009399414, 10.437772750854492 52.335105895996094, 10.43779182434082 52.33514404296875, 10.437826156616211 52.335201263427734, 10.438255310058594 52.33529281616211, 10.438310623168945 52.335243225097656, 10.438080787658691 52.33515167236328, 10.438172340393066 52.33506774902344, 10.438132286071777 52.335052490234375, 10.43817138671875 52.335018157958984, 10.438248634338379 52.33494567871094))","Kita Rothemühle. Website: https://www.kita-rothemuehle.de/. Amenity: kindergarten. Address: An der Aue, 2, Schwülper, 38179. Additional tags: addr suburb rothemühle brand deutsches rotes kreuz brand short drk brand wikidata q694104 capacity 43 lunch yes.",531543022,Kindergarten Rothemühle,"['childcare', 'work']",kindergartens,The OSM tag amenity=kindergarten and the name 'Kita Rothemühle' clearly identify this as a daycare f
27778675,,Pixhaier Mühle,,restaurant,house,,,,"An der Pixhaier Mühle, 1, Clausthal-Zellerfeld, 38678",addr suburb buntenbock wheelchair no,,"POLYGON ((10.341665267944336 51.78408432006836, 10.341535568237305 51.78416442871094, 10.341437339782715 51.78410339355469, 10.341362953186035 51.78414535522461, 10.341278076171875 51.784088134765625, 10.341351509094238 51.7840461730957, 10.341225624084473 51.78396224975586, 10.341355323791504 51.78388595581055, 10.341665267944336 51.78408432006836))","Pixhaier Mühle. Amenity: restaurant; Building: house. Address: An der Pixhaier Mühle, 1, Clausthal-Zellerfeld, 38678. Additional tags: addr suburb buntenbock wheelchair no.",27778675,Pixhaier Mühle (restaurant),"['leisure', 'meetup', 'work']",restaurants / gastronomy,The OSM tag amenity=restaurant clearly indicates this is a dining establishment. Visitors go there p
998744955,,,,recycling,,,,,,recycling clothes yes recycling type container,,POINT (10.783990859985352 52.14751434326172),Amenity: recycling. Additional tags: recycling clothes yes recycling type container.,998744955,Clothing recycling container,[],,"The OSM tags (amenity=recycling, recycling:clothes=yes, recycling:type=container) describe an outdoo"
9881598908,,Dr.-Martin-Schmidt-Platz,,,,,information,board,,board type history description kulturdenkmal oberharzer wasserregal am wasserwanderweg hutthaler widerwaage direction 160,,POINT (10.388016700744629 51.78868103027344),Dr.-Martin-Schmidt-Platz. Tourism: information; Information: board. Additional tags: board type history description kulturdenkmal oberharzer wasserregal am wasserwanderweg hutthaler widerwaage direction 160.,9881598908,Outdoor historical tourism information board,[],,The feature described is a tourism information board (tourism=information; information=board) at Dr.
618220906,,,,parking,,,,,,access private capacity 12 surface paved,parking: surface,"POLYGON ((10.533480644226074 52.27796173095703, 10.533974647521973 52.27800369262695, 10.5339937210083 52.27791976928711, 10.533499717712402 52.27787780761719, 10.533480644226074 52.27796173095703))",Amenity: parking. Additional information: parking: surface. Additional tags: access private capacity 12 surface paved.,618220906,Private surface parking lot (capacity 12),[],,"This is an outdoor parking area (amenity=parking, parking=surface) with no building or enclosed stru"
777827042,,,,kindergarten,,,,,,,,"POLYGON ((10.373010635375977 52.27046585083008, 10.373021125793457 52.27006530761719, 10.374191284179688 52.27006149291992, 10.37416934967041 52.27046585083008, 10.373010635375977 52.27046585083008))",Amenity: kindergarten.,777827042,Kindergarten,"['childcare', 'work']",kindergartens,The OSM tag amenity=kindergarten clearly indicates an enterable building used for early childhood ca
10711987922,,Gästewohnung Detmerode,,,,,apartment,,"Graf-Stauffenberg-Ring, 28, Wolfsburg, 38444",internet access fee no,internet_access: yes,POINT (10.748873710632324 52.38525390625),"Gästewohnung Detmerode. Tourism: apartment. Address: Graf-Stauffenberg-Ring, 28, Wolfsburg, 38444. Additional information: internet_access: yes. Additional tags: internet access fee no.",10711987922,Tourist apartment (Gästewohnung),['leisure'],hotels,The OSM snippet uses tourism=apartment and describes a Gästewohnung (guest apartment) with internet 
1326346225,,Lehnert Textilreinigung,,,,dry_cleaning,,,"Schulzen Hof, 30, Wolfsburg, 38442",addr suburb fallersleben wheelchair yes,,POINT (10.715352058410645 52.41964340209961),"Lehnert Textilreinigung. Shop: dry_cleaning. Address: Schulzen Hof, 30, Wolfsburg, 38442. Additional tags: addr suburb fallersleben wheelchair yes.",1326346225,Dry cleaning shop,['errands'],customer-oriented services,The OSM tag shop=dry_cleaning and the name “Lehnert Textilreinigung” indicate this is a textile clea
12990625353,,,,bench,,,,,,,,POINT (10.10710334777832 51.91326904296875),Amenity: bench.,12990625353,bench,[],,The OSM tag amenity=bench indicates an outdoor seating object rather than an enterable building or f
4952207460,,,,,,,information,guidepost,,,bicycle: yes,POINT (10.343052864074707 51.8143196105957),Tourism: information; Information: guidepost. Additional information: bicycle: yes.,4952207460,tourist information guidepost,[],,The OSM tags tourism=information and information=guidepost indicate an outdoor signpost providing to
1021085889,,,,parking,,,,,,capacity 37 capacity disabled 2 surface paving stones,parking: surface,"POLYGON ((10.002906799316406 51.700706481933594, 10.002870559692383 51.700687408447266, 10.002835273742676 51.7006721496582, 10.002805709838867 51.700660705566406, 10.002776145935059 51.700645446777344, 10.002747535705566 51.70063400268555, 10.002717971801758 51.700618743896484, 10.00268840789795 51.70060729980469, 10.00265884399414 51.700592041015625, 10.002630233764648 51.70058059692383, 10.00260066986084 51.700565338134766, 10.002571105957031 51.70055389404297, 10.002542495727539 51.70054244995117, 10.00251293182373 51.70052719116211, 10.002483367919922 51.70051574707031, 10.00245475769043 51.70050048828125, 10.002425193786621 51.70048904418945, 10.002395629882812 51.70047378540039, 10.00236701965332 51.700462341308594, 10.002337455749512 51.70044708251953, 10.00238037109375 51.70041275024414, 10.002440452575684 51.70035934448242, 10.002485275268555 51.700321197509766, 10.002513885498047 51.70033645629883, 10.002543449401855 51.700347900390625, 10.002573013305664 51.70036315917969, 10.002601623535156 51.700374603271484, 10.002631187438965 51.70038986206055, 10.002659797668457 51.700401306152344, 10.002689361572266 51.70041275024414, 10.002718925476074 51.7004280090332, 10.002747535705566 51.700439453125, 10.002777099609375 51.70045471191406, 10.002806663513184 51.70046615600586, 10.002835273742676 51.70048141479492, 10.002864837646484 51.70049285888672, 10.002894401550293 51.70050811767578, 10.002923011779785 51.70051956176758, 10.002952575683594 51.700531005859375, 10.002981185913086 51.70054626464844, 10.003010749816895 51.700557708740234, 10.003021240234375 51.700565338134766, 10.002968788146973 51.70060729980469, 10.003002166748047 51.70062255859375, 10.002949714660645 51.70066833496094, 10.002906799316406 51.700706481933594))",Amenity: parking. Additional information: parking: surface. Additional tags: capacity 37 capacity disabled 2 surface paving stones.,1021085889,surface parking lot,[],,"The feature is an open‐air parking area (amenity=parking, parking=surface) with no enterable buildin"
